edge_id,src_node,dst_node,num_lanes,length_m,speed_limit_mps
43251,1723739386,1723738832,3,63.8,11.176
43252,1723739386,4165593360,3,14.6,11.176
43253,233713013,52982920,4,1620.1,29.0576
43254,678309300,678314749,2,23.7,8.9408
43255,678309300,678310895,2,20.1,8.9408
43256,91106894,1647877964,1,622.8,8.9408
43257,91107060,91063440,1,2660.9,8.9408
43258,26028045,447946512,1,329.9,22.352
43259,26028045,26028038,3,840.7,29.0576
43260,5686309260,5686309260,1,42.8,13.4112
43261,5686309260,5686309260,1,42.8,13.4112
43262,5686309260,1510783107,1,236.6,13.4112
43263,263074300,65394699,1,139.2,11.176
43264,263074300,65511594,2,482.5,22.352
43265,678310895,678310899,2,15.7,8.9408
43266,678310895,53000016,2,14.5,8.9408
43267,678310899,678309300,2,54.0,8.9408
43268,518927433,65382561,2,338.3,22.352
43269,518927433,65454187,3,1146.4,29.0576
43270,419313014,734838038,1,385.4,22.352
43271,419313112,419309525,1,76.6,17.8816
43272,419313112,419313014,1,104.4,22.352
43273,5008930265,4993578443,2,12.2,8.9408
43274,5008930265,1832573788,2,705.6,8.9408
43275,5008930266,5008930265,2,10.0,8.9408
43276,5008930266,4993578440,2,81.9,8.9408
43277,42874340,42874347,1,11.5,8.9408
43278,42874340,42874399,1,85.3,8.9408
43279,42874340,65412449,3,835.1,13.4112
43280,42874347,42874340,1,11.5,8.9408
43281,42874347,36229301,3,568.3,13.4112
43282,419313166,419309525,1,9.0,13.4112
43283,419313166,53095913,1,127.1,11.176
43284,42874399,262257155,2,36.2,8.9408
43285,42874399,42874340,1,85.3,8.9408
43286,4000200242,4000470397,3,310.2,17.8816
43287,4000200247,4000200253,3,49.2,17.8816
43288,4000200247,4000200253,1,79.1,13.4112
43289,4000200250,4000200242,1,80.7,13.4112
43290,4000200250,4000200242,3,58.6,17.8816
43291,4000200253,5845646014,3,1642.7,17.8816
43292,4170069596,5349308996,1,9.0,8.9408
43293,4170069596,760124102,4,369.4,15.6464
43294,437139358,65353519,1,220.5,22.352
43295,5105400016,92773135,1,606.1,13.4112
43296,5105400016,92758158,2,121.2,15.6464
43297,810432782,65494258,1,1726.8,8.9408
43298,33438029,26639093,4,111.6,17.8816
43299,401488315,53105273,1,18.7,11.176
43300,401488315,2293887867,3,412.5,20.1168
43301,650000958,65413925,1,8.8,8.9408
43302,650000958,2452345972,2,15.6,8.9408
43303,650000958,5317023731,1,240.6,8.9408
43304,650001009,289679275,1,10.2,8.9408
43305,650001009,264935886,2,131.8,8.9408
43306,650001022,60434605,1,11.6,8.9408
43307,650001022,276322785,1,153.2,8.9408
43308,650001022,1980247116,2,149.9,8.9408
43309,650001042,395379104,1,11.6,8.9408
43310,650001042,650001051,2,161.9,8.9408
43311,80624276,65400942,1,139.8,15.6464
43312,80624276,65405190,1,167.1,13.4112
43313,650001051,65413928,1,11.5,8.9408
43314,650001051,650001009,2,166.7,8.9408
43315,3707648834,65447921,1,7.1,11.176
43316,3707648834,5834900092,1,27.4,15.6464
43317,3707648834,706921504,3,394.2,15.6464
43318,3707648836,3707648834,3,44.4,15.6464
43319,3707648836,5834900092,1,42.3,8.9408
43320,3707648866,744497451,1,67.2,20.1168
43321,3707648866,257877915,3,37.1,15.6464
43322,3707648867,3707648836,3,769.8,15.6464
43323,3707648871,3707648867,3,23.0,15.6464
43324,3707648871,5048297737,1,13.6,20.1168
43325,3707648873,3707648871,3,42.6,15.6464
43326,3707648873,257877915,2,16.8,20.1168
43327,3707648874,3707648873,3,21.6,15.6464
43328,3707648874,4728849099,2,34.8,20.1168
43329,3707648877,5048297738,3,10.5,11.176
43330,3707648877,65400151,1,14.0,11.176
43331,3707648877,65583017,1,138.5,11.176
43332,5105400813,1214168891,1,42.4,8.9408
43333,5105400813,92758158,2,63.5,15.6464
43334,5105400813,5271588053,2,49.4,15.6464
43335,1067334907,49067107,3,1159.5,29.0576
43336,4167974190,65465893,4,45.6,13.4112
43337,4167974190,3414939067,1,58.5,13.4112
43338,4167974202,4167974203,1,17.1,13.4112
43339,4167974202,1105792719,3,395.9,13.4112
43340,4167974203,4167974202,1,17.1,13.4112
43341,4167974203,1097706670,3,532.0,13.4112
43342,2593013366,2593013367,1,14.5,8.9408
43343,2593013366,5354851403,3,245.5,13.4112
43344,2593013367,2593013366,1,14.5,8.9408
43345,2593013367,65546310,1,462.0,8.9408
43346,2593013367,3277280261,3,421.4,13.4112
43347,634273404,634273409,1,13.7,8.9408
43348,634273409,634273404,1,13.7,8.9408
43349,634273409,65457737,1,8.3,8.9408
43350,634273409,634360514,1,330.0,8.9408
43351,242106025,241334544,4,630.4,29.0576
43352,242106025,52989137,2,519.4,22.352
43353,1157512953,65423908,1,623.7,8.9408
43354,1157512953,1157512958,3,67.7,8.9408
43355,1157512958,342657980,2,19.2,8.9408
43356,1157512958,342655282,3,769.9,13.4112
43357,1125007184,640768615,2,189.1,13.4112
43358,1125007193,65615602,2,168.4,13.4112
43359,1125007193,1125007184,1,89.6,13.4112
43360,100548657,53149317,1,1084.1,11.176
43361,100548657,262257164,2,313.9,11.176
43362,242106766,242106767,4,197.1,29.0576
43363,242106767,242182547,2,457.4,22.352
43364,242106767,242187653,4,656.3,29.0576
43365,678314560,678314749,1,118.1,8.9408
43366,678314749,678314560,1,118.1,8.9408
43367,678314749,678310895,2,17.4,8.9408
43368,2537440029,4360688182,2,9.9,8.9408
43369,2537440029,2537440119,1,82.1,8.9408
43370,2537440057,4360692489,1,20.2,8.9408
43371,2537440057,658953134,3,597.1,20.1168
43372,2537440060,614453971,1,395.4,8.9408
43373,2537440060,2537440029,2,49.0,8.9408
43374,2537440119,2537440029,1,82.1,8.9408
43375,33440837,258965243,2,103.4,13.4112
43376,33440837,1067712389,1,465.5,22.352
43377,33440879,65406863,1,450.4,22.352
43378,33440879,65406866,3,98.2,13.4112
43379,3611182330,725288010,2,323.9,11.176
43380,3611182330,1792772981,1,19.7,11.176
43381,3494790597,3494790602,1,27.8,8.9408
43382,3494790597,57873135,1,678.9,15.6464
43383,3494790597,5393731517,1,1101.7,15.6464
43384,3494790599,3494790602,1,92.9,8.9408
43385,3494790602,3494790597,1,27.8,8.9408
43386,3494790602,3494790603,1,126.7,8.9408
43387,3494790602,3494790599,1,92.9,8.9408
43388,3494790603,3494790602,1,126.7,8.9408
43389,2282636922,65425931,1,430.4,20.1168
43390,2282636922,2282714292,2,347.3,22.352
43391,2593015552,760124119,3,137.3,11.176
43392,2593015552,3277280273,1,173.2,11.176
43393,316557273,314148496,3,105.0,20.1168
43394,316557273,316557287,3,18.6,15.6464
43395,316557287,760181850,3,55.9,15.6464
43396,316557287,65445601,3,15.5,20.1168
43397,2900248603,2900248624,1,39.4,8.9408
43398,2900248603,65497366,1,240.3,8.9408
43399,2900248603,65497360,1,42.6,8.9408
43400,2900248624,65497360,1,41.5,8.9408
43401,2900248624,65637382,1,459.7,8.9408
43402,316557409,65425861,3,11.8,11.176
43403,316557409,65425850,2,785.3,11.176
43404,316557409,316557529,3,761.0,15.6464
43405,316557529,65649339,1,12.9,8.9408
43406,316557529,65469240,1,413.8,8.9408
43407,316557529,316557564,3,510.7,15.6464
43408,316557569,317529132,3,14.8,15.6464
43409,316557569,2404187436,3,20.5,17.8816
43410,316557729,316557564,3,12.9,15.6464
43411,316557729,314821147,3,38.2,15.6464
43412,316557730,65537490,3,106.2,15.6464
43413,316557740,316557554,3,13.3,15.6464
43414,316557740,2404187430,3,273.5,15.6464
43415,452872745,57834615,1,1135.1,15.6464
43416,452872745,1835679964,1,88.2,15.6464
43417,452872745,5379883900,1,91.9,11.176
43418,258886222,2399950833,2,13.9,11.176
43419,258886222,4021550367,2,184.0,13.4112
43420,258886222,65322310,2,450.8,11.176
43421,258886228,65317798,1,10.5,8.9408
43422,258886228,65317795,1,477.9,8.9408
43423,258886228,1677788964,2,192.8,11.176
43424,258886234,65330458,1,10.4,8.9408
43425,258886234,258886228,2,82.3,11.176
43426,258886236,65290337,1,11.8,8.9408
43427,258886236,258886234,2,161.8,11.176
43428,258886236,65290336,2,136.2,8.9408
43429,258886237,258886236,3,185.3,11.176
43430,3994962569,4891201085,2,34.0,11.176
43431,3994962569,4891201112,1,36.3,8.9408
43432,3994962569,65473421,1,199.1,11.176
43433,316557979,65542697,1,13.8,8.9408
43434,316557979,760181907,3,340.6,15.6464
43435,316558020,655614078,3,12.7,15.6464
43436,316558020,65526756,2,251.9,16.54048
43437,3698215778,3687635719,1,53.3,8.9408
43438,3698215778,57830567,2,48.3,8.9408
43439,316558233,4800660961,3,20.2,13.4112
43440,316558233,65399555,1,25.6,13.4112
43441,5411411533,5411411523,1,53.4,8.9408
43442,5411411534,5474783663,1,103.9,8.9408
43443,5411411534,5411411581,1,99.2,8.9408
43444,5411411534,5411411535,1,144.0,8.9408
43445,292441254,65625699,1,2798.2,13.4112
43446,292441254,433561976,1,329.8,13.4112
43447,292441254,604117351,1,164.4,8.9408
43448,5411411580,5411411581,1,27.9,8.9408
43449,5411411580,5411411537,1,107.3,8.9408
43450,5411411580,5411411537,1,113.8,8.9408
43451,5411411581,5411411580,1,27.9,8.9408
43452,5411411581,5411411534,1,99.2,8.9408
43453,5411411581,5411411536,1,335.7,8.9408
43454,316558849,357525084,3,17.5,13.4112
43455,316558849,1020769440,3,36.7,15.6464
43456,3104722625,53077758,2,11.9,8.9408
43457,3104722625,3104722830,2,116.5,8.9408
43458,2593017602,3312123321,1,975.8,8.9408
43459,2593017602,3312123444,1,361.5,15.6464
43460,2593017602,2602192900,1,320.4,15.6464
43461,2593017603,65462454,1,18.6,15.6464
43462,2593017603,313113398,4,300.9,20.1168
43463,2593017603,3276773816,1,27.7,15.6464
43464,5660102425,667737564,2,41.7,15.6464
43465,5660102425,4925883836,1,61.6,20.1168
43466,5660102431,65559620,2,1164.9,15.6464
43467,316559199,65449363,1,14.7,8.9408
43468,316559199,65449396,1,358.4,8.9408
43469,316559199,1020769395,4,261.8,15.6464
43470,316559201,316559199,3,364.9,15.6464
43471,316559201,1036608550,4,38.7,15.6464
43472,3104722830,53081644,1,11.9,8.9408
43473,3104722830,53118752,2,384.9,8.9408
43474,5041442783,5041442784,4,16.3,15.6464
43475,5041442783,282813168,3,207.9,15.6464
43476,5041442784,282813104,4,13.1,15.6464
43477,5041442784,65433077,2,126.4,15.6464
43478,4268642579,65432144,1,8.7,8.9408
43479,4268642579,5779230519,2,680.9,15.6464
43480,4183708206,65552431,3,33.5,13.4112
43481,4183708206,3230793155,1,45.4,13.4112
43482,452875058,4931514527,1,299.7,15.6464
43483,452875058,4931514539,2,373.8,15.6464
43484,26029773,26027659,2,14.5,15.6464
43485,26029773,26029776,3,377.2,15.6464
43486,26029773,65433845,2,206.8,15.6464
43487,258888572,286812796,1,32.4,13.4112
43488,1912493413,1912493417,1,3083.3,8.9408
43489,1912493413,53089992,1,4756.3,8.9408
43490,1912493413,52986519,1,1329.2,8.9408
43491,1912493417,1912493413,1,3083.3,8.9408
43492,297686403,65417418,1,4196.1,8.9408
43493,297686403,4888070338,2,44.6,8.9408
43494,851334552,1548371439,1,240.0,18.77568
43495,851334552,851341874,3,111.6,20.1168
43496,3931002719,4169996290,1,10.0,13.4112
43497,3931002719,53077144,3,210.1,13.4112
43498,1928222657,3838932813,2,137.8,8.9408
43499,1504598253,65421194,1,907.0,13.4112
43500,4047395074,1708555011,1,185.4,8.9408
43501,4047395074,65615300,1,201.6,8.9408
43502,4047395074,65633736,1,508.1,8.9408
43503,876501306,1079474882,1,35.6,13.4112
43504,876501306,65467606,1,487.7,13.4112
43505,876501306,1079589814,1,26.1,13.4112
43506,1613650544,1613650546,3,12.4,15.6464
43507,1613650546,26050456,3,17.1,15.6464
43508,1613650546,65658516,3,162.2,15.6464
43509,1912494762,1912494762,1,180.2,8.9408
43510,1912494762,1912494762,1,180.2,8.9408
43511,1912494762,53102152,1,8496.7,8.9408
43512,1126448843,65388287,2,27.4,20.1168
43513,1126448843,1126448921,1,46.9,20.1168
43514,1126448850,26270058,3,204.8,11.176
43515,2299419907,293847696,1,136.7,8.9408
43516,2299419907,65456683,3,182.8,8.9408
43517,292445477,726963276,1,37.3,11.176
43518,292445477,26031466,3,29.1,11.176
43519,292445490,187643171,3,88.7,15.6464
43520,292445490,1722505394,1,89.8,13.4112
43521,292445500,187643171,1,151.3,13.4112
43522,292445500,1722505394,3,149.7,15.6464
43523,3096337778,262921787,2,37.6,8.9408
43524,3096337778,3096337771,1,47.9,13.4112
43525,5358116214,91076472,1,701.8,13.4112
43526,2299420102,293847705,2,95.5,8.9408
43527,2299420108,461392857,2,211.8,8.9408
43528,2299420119,461427830,1,49.6,22.352
43529,2396937690,329941436,2,23.8,8.9408
